,times,pi/4,pi/3,pi/5
0,0.001,1.0,0.999464388648096,0.9998042643851083
1,0.0011097524964120721,1.0,0.9994056389044162,0.999782786579018
2,0.0012315506032928262,1.0,0.9993404493145857,0.9997589526103117
3,0.001366716356462006,1.0,0.9992681149595166,0.9997325041342902
4,0.0015167168884709225,1.0,0.9991878539858001,0.9997031545101385
5,0.0016831803533309566,1.0,0.99909879926181,0.9996705857087407
6,0.0018679135990207828,1.0,0.9989999891410662,0.9996344448842148
7,0.002072921779595372,1.0,0.9988903572401728,0.9995943405729742
8,0.002300430119772917,1.0,0.9987687211296825,0.9995498384803158
9,0.0025529080682395165,1.0,0.9986337698265836,0.9995004568103464
10,0.002833096101839324,1.0,0.9984840499667061,0.9994456610904618
11,0.0031440354715915,1.0,0.9983179505242372,0.9993848584365415
12,0.0034891012134067737,1.0,0.9981336859337062,0.9993173911994913
13,0.003872038781812557,1.0,0.9979292774573001,0.9992425299277187
14,0.004297004704320844,1.0,0.997702532627246,0.9991594655735101
15,0.004768611697714469,1.0,0.9974510225793762,0.9990673008640774
16,0.005291978735958442,1.0,0.9971720570799876,0.9989650407502064
17,0.005872786613189483,1.0,0.9968626570339518,0.9988515818369419
18,0.00651733960488242,1.0,0.9965195242480063,0.9987257006915499
19,0.007232633896483534,1.0,0.9961390082096069,0.998586040914099
20,0.008026433522257174,1.0,0.9957170696291824,0.9984310988453727
21,0.00890735463861044,1.0,0.9952492404826893,0.9982592077754728
22,0.009884959046625586,1.0,0.9947305802828529,0.9980685205044173
23,0.010969857978923836,1.0,0.9941556283023968,0.9978569900933265
24,0.012173827277396614,1.0,0.9935183514721813,0.9976223486314868
25,0.013509935211980273,1.0,0.9928120876830496,0.9973620838308123
26,0.014992684327860457,1.0,0.9920294842342589,0.997073413245151
27,0.01663816886076129,1.0,0.9911624311959814,0.9967532558977292
28,0.018464249428955443,1.0,0.990201989491364,0.9963982010861142
29,0.020490746898158472,1.0,0.9891383135584148,0.9960044741207994
30,0.022739657523579287,1.0,0.9879605685276185,0.9955678987414273
31,0.02523539170434766,1.0,0.9866568415501317,0.9950838559444256
32,0.02800503894183631,1.0,0.9852140465544793,0.994547238948334
33,0.03107866187782014,1.0,0.9836178294461366,0.993952404011562
34,0.03448962260405758,1.0,0.9818524640126183,0.9932931167965939
35,0.038274944785163134,1.0,0.9799007452054052,0.992562494186698
36,0.04247571552536898,1.0,0.9777438803613472,0.9917529410537561
37,0.047137531341167244,1.0,0.9753613795776837,0.9908560818873956
38,0.05231099308056263,1.0,0.9727309472674439,0.9898626871014014
39,0.05805225516094899,1.0,0.969828377485475,0.988762593889739
40,0.06442363508721373,1.0,0.9666274562723665,0.9875446215982828
41,0.07149428986597581,1.0,0.9630998750183428,0.9861964816889791
42,0.07934096665797492,1.0,0.9592151597021885,0.9847046825168406
43,0.08804883581643465,1.0,0.9549406218066928,0.9830544293234561
44,0.09771241535346502,1.0,0.9502413377407711,0.981229520081063
45,0.1084365968689611,1.0,0.9450801646912045,0.9792122381068867
46,0.12033778407775893,1.0,0.9394178019601737,0.9769832427173367
47,0.13354515629298988,1.0,0.9332129079943292,0.9745214596151471
48,0.14820207057988585,1.0,0.9264222844647975,0.9718039732092726
49,0.16446761779946645,1.0,0.9190011399402358,0.9688059236666628
50,0.18251834943190443,1.0,0.9109034470167353,0.9655004121956235
51,0.20255019392306664,1.0,0.9020824085099666,0.9618584188697848
52,0.22478058335487253,1.0,0.8924910510780105,0.9578487382256914
53,0.24945081352303167,1.0,0.8820829696040553,0.9534379389103179
54,0.27682866303920667,1.0,0.8708131179500327,0.9485903548221187
55,0.3072112998861759,1.0,0.8586387314271621,0.9432681164891846
56,0.34092850697468147,1.0,0.8455206682469721,0.9374312270848324
57,0.3783462617131929,1.0,0.8314243930633904,0.9310376727116777
58,0.419870708444391,1.0,0.8163212806483828,0.9240437139733616
59,0.4659525668664682,1.0,0.8001900981647193,0.9164041497829654
60,0.517092024289676,1.0,0.7830187072163284,0.9080726942682638
61,0.5738441648302398,1.0,0.7648053105713231,0.8990024696544424
62,0.6368249944718586,1.0,0.7455601136458699,0.8891466161662515
63,0.7067181273927491,1.0,0.7253057895174836,0.8784590308889149
64,0.7842822061337682,1.0,0.7040788845407095,0.8668952498841188
65,0.8703591361485166,1.0,0.6819309338357428,0.8544134947570948
66,0.9658832241158708,1.0,0.6589286546790641,0.8409759211363269
67,1.0718913192051276,1.0,0.635152698608166,0.8265498076700059
68,1.1895340673703196,1.0,0.6106984163816352,0.8111089749207533
69,1.3200884008314182,1.0,0.5856745865484884,0.794635280880389
70,1.4649713983072863,1.0,0.5602003395240287,0.777119703204821
71,1.625755666443795,1.0,0.5344051353943959,0.7585639390066549
72,1.8041864093920719,1.0,0.5084245478300369,0.7389821062590871
73,2.0022003718155843,1.0,0.4823983354889873,0.7184017718501994
74,2.2219468609395236,1.0,0.4564673417589345,0.6968645823563518
75,2.4658110758226037,1.0,0.43077013861161584,0.6744264623508789
76,2.736439997074672,1.0,0.4054404624597766,0.6511587759078679
77,3.0367711180354604,1.0,0.38060442281012785,0.6271478545916388
78,3.370064329271928,1.0,0.3563776837269814,0.6024929237778669
79,3.739937302478798,1.0,0.33286450423016267,0.5773064642753275
80,4.150404757850477,1.0,0.31015500961751075,0.5517117682526765
81,4.605922041145108,1.0,0.2883252086416989,0.5258398964247117
82,5.1114334834401705,1.0,0.2674363366352634,0.49982883889692614
83,5.672426068491977,1.0,0.24753440790221737,0.4738184163441369
84,6.294988990221888,1.0,0.2286511958298439,0.44794958488652403
85,6.985879746785249,1.0,0.2108049924769956,0.4223591693563101
86,7.752597488629465,1.0,0.1940013810388096,0.3971791126790206
87,8.60346441668451,1.0,0.17823468367666032,0.37253192349650444
88,9.547716114208066,1.0,0.16348941320687665,0.3485300134124601
89,10.59560179277617,1.0,0.149741736918795,0.325272903413025
90,11.758495540521581,1.0,0.13696084509403947,0.3028461544595888
91,13.049019780144016,1.0,0.12511032571504668,0.2813210942352454
92,14.481182276745331,1.0,0.11414954224610462,0.26075371049350937
93,16.070528182616385,1.0,0.10403482618595801,0.2411853006950361
94,17.834308769319094,1.0,0.09472052635715654,0.2226431585710391
95,19.791668678535572,1.0,0.086159949044875,0.20514120402776717
96,21.96385372416547,1.0,0.07830613628785071,0.1886811042429218
97,24.37444150122222,1.0,0.07111252581603789,0.1732538166003491
98,27.04959730463137,1.0,0.06453349130815941,0.15884096586496643
99,30.01835813575592,1.0,0.05852477012714034,0.14541625181655998
100,33.31294787934677,1.0,0.053043795965791306,0.13294683192507384
101,36.96912707195032,1.0,0.04804992953374025,0.12139476212345632
102,41.0265810582719,1.0,0.04350461478941959,0.11071829176655128
103,45.52935074866948,1.0,0.03937148264346774,0.10087298506460729
104,50.526310653356795,1.0,0.03561639426559623,0.09181275898123853
105,56.07169938205458,1.0,0.03220744291669105,0.08349074865877211
106,62.22570836730231,1.0,0.0291149224819552,0.07586005473668808
107,69.0551352016233,1.0,0.02631127004616275,0.06887436606121876
108,76.63410868007462,1.0,0.023770988912947637,0.06248846307764718
109,85.04489341802686,1.0,0.02147055752271896,0.05665862044419632
110,94.37878277775391,1.0,0.019388328826677563,0.05134288348546514
111,104.73708979594508,1.0,0.017504423857578673,0.046501284818797936
112,116.23224686798542,1.0,0.015800622514206032,0.04209598463407729
113,128.9890261253308,1.0,0.014260253954521351,0.0380913480945137
114,143.14589375234786,1.0,0.012868089148581075,0.03445397479138628
115,158.85651294280527,1.0,0.011610234467989047,0.03115268912157498
116,176.2914118095948,1.0,0.010474030258138282,0.028158499676749327
117,195.63983435170647,1.0,0.009447954560443476,0.025444534780391662
118,217.11179456945052,1.0,0.008521531318804957,0.02298596031494723
119,240.9403560239527,1.0,0.007685243973668268,0.02075988502081921
120,267.38416158399497,1.0,0.00693045454995454,0.01874525756165728
121,296.73024081888724,1.0,0.006249328229039307,0.016922758861410096
122,329.2971255097155,1.0,0.005634763306303932,0.015274693382386536
123,365.43830709572546,1.0,0.005080326369898646,0.013784878437103349
124,405.54607358408276,1.0,0.004580192489114218,0.012438536775014025
125,450.05576757004974,1.0,0.004129090168592319,0.01122219313370544
126,499.450511585514,1.0,0.0037222508044715994,0.010123574183648582
127,554.2664520663108,1.0,0.003355362367911666,0.00913151330815609
128,615.0985788580505,1.0,0.003024527038132498,0.008235860602067472
129,682.6071834272393,1.0,0.0027262225094016844,0.007427398296509386
130,757.525025877192,1.0,0.0024572667031695994,0.006697761678001328
131,840.6652885618333,1.0,0.0022147858155369005,0.00603936546251446
132,932.9304026284696,1.0,0.001996184862280231,0.005445335503647018
133,1035.3218432956637,1.0,0.0017991210308508899,0.004909445654234493
134,1148.9510001873086,1.0,0.001621479708084402,0.004426059558445
135,1275.051240713013,1.0,0.0014613525621534956,0.003990077123274497
136,1414.991297434576,1.0,0.0013170176697940223,0.003596885401440732
137,1570.2901247293776,1.0,0.001186921508311276,0.003242313609543713
138,1742.6333860096508,1.0,0.0010696626454819893,0.0029225920040013833
139,1933.891750455232,1.0,0.0009639769734523736,0.0026343144694412866
140,2146.141197858406,1.0,0.0008687243450333857,0.0023744042698907184
141,2381.6855519761607,1.0,0.0007828764823848088,0.002140082615799607
142,2643.0814869741084,1.0,0.0007055061031720076,0.001928840569753778
143,2933.1662783900483,1.0,0.0006357772473057203,0.0017384132854012945
144,3255.0885998350564,1.0,0.0005729360366518552,0.001566756617346737
145,3612.3426997094302,1.0,0.0005163028680921851,0.001412025903476366
146,4008.8063288984645,1.0,0.0004652651246740661,0.0012725567301276437
147,4448.782831127585,1.0,0.0004192705463887995,0.001146847504418208
148,4937.047852839004,1.0,0.00037782122760050114,0.0010335436714130914
149,5478.901179593945,1.0,0.0003404681957155151,0.0009314234265422899
150,6080.224261649427,1.0,0.000306806883391951,0.0008393847857324976
151,6747.5440531107,1.0,0.00027647257260966643,0.0007564340062594833
152,7488.10385759003,1.0,0.00024913666157421203,0.000681675102270541
153,8309.941949353404,1.0,0.0002245030537064141,0.000614300056121714
154,9221.97882333434,1.0,0.0002023047140072133,0.0005535804343336263
155,10234.114021054527,1.0,0.00018230083572131297,0.00049885956337734
156,11357.333583431051,1.0,0.00016427451604536777,0.00044954544364181874
157,12603.829296797274,1.0,0.00014803040337442108,0.00040510433587708514
158,13987.131026472387,1.0,0.00013339250871216704,0.00036505496240124286
159,15522.25357427048,1.0,0.00012020188236502069,0.0003289636145627804
160,17225.859653987874,1.0,0.00010831537316235305,0.0002964393102564664
161,19116.440753857038,1.0,9.760416918459152e-05,0.0002671297394857068
162,21214.51784910632,1.0,8.795224912871596e-05,0.00024071745222293184
163,23542.864143224204,1.0,7.92546462362013e-05,0.0002169162123273551
164,26126.752255633317,1.0,7.141697671139016e-05,0.00019546784124562232
165,28994.22853882881,1.0,6.435448544504889e-05,0.0001761397999893391
166,32176.417502507353,1.0,5.799037107613769e-05,0.0001587225718931344
167,35707.859649004626,1.0,5.22554453229076e-05,0.0001430274938998533
168,39626.88638701478,1.0,4.708777665892436e-05,0.00012888424483088886
169,43976.036093027215,1.0,4.243112830834945e-05,0.00011613930176888949
170,48802.515836544335,1.0,3.82348429346016e-05,0.00010465445106828402
171,54158.71378079476,1.0,3.4453707893246825e-05,9.430536257722904e-05
172,60102.76782070388,1.0,3.104639704456152e-05,8.497959366118084e-05
173,66699.19663030129,1.0,2.7976011699071017e-05,7.657584479896896e-05
174,74019.59996915652,1.0,2.5209395054752033e-05,6.900314243890526e-05
175,82143.43584919439,1.0,2.27162116975202e-05,6.21793769293231e-05
176,91158.88299750836,1.0,2.046974960057298e-05,5.603025716085438e-05
177,101163.7979766207,1.0,1.8445338558255314e-05,5.048921529761862e-05
178,112266.77735108159,1.0,1.662117243990592e-05,4.549624707181604e-05
179,124588.33642950082,1.0,1.4977430001957163e-05,4.099688377176704e-05
180,138262.2173764659,1.0,1.3496167244171206e-05,3.694252554939669e-05
181,153436.84089300132,1.0,1.2161512736381445e-05,3.328917133328252e-05
182,170276.91722258978,1.0,1.0958710043451714e-05,2.9996949486623838e-05
183,188965.23396912115,1.0,9.875012439008609e-06,2.7030473756052767e-05
184,209704.64013232305,1.0,8.898331648715604e-06,2.4357256747661865e-05
185,232720.2478960412,1.0,8.018399448159554e-06,2.1948406987991543e-05
186,258261.87606826748,1.0,7.225333035611917e-06,1.977786248467592e-05
187,286606.7616948256,1.0,6.510851908681434e-06,1.782182848500751e-05
188,318062.5692794119,1.0,5.866883793141747e-06,1.605940597002433e-05
189,352970.73027306574,1.0,5.28673874274483e-06,1.4471115235537146e-05
190,391710.1490809261,1.0,4.763850397029932e-06,1.304004797285321e-05
191,434701.3158125035,1.0,4.292765179473843e-06,1.1750381068599026e-05
192,482410.8704165374,1.0,3.868217631512947e-06,1.0588360794045843e-05
193,535356.6677410719,1.0,3.4856593320095696e-06,9.541173941749163e-06
194,594113.3984965039,1.0,3.140986231402957e-06,8.597620880084732e-06
195,659318.8271333541,1.0,2.8302979395251203e-06,7.747318556178588e-06
196,731680.7143427207,1.0,2.5504693612848963e-06,6.981172193111494e-06
197,811984.4993184009,1.0,2.2981771176178294e-06,6.29072381149036e-06
198,901101.8251665037,1.0,2.0709486102301366e-06,5.668645580912577e-06
199,1000000.0,1.0,1.8661590704363003e-06,5.108017998201659e-06
