,time,density
0,0.001,0.9920869415237766
1,0.001135733358343105,0.9910260954911796
2,0.001289890261253308,0.98982503043726
3,0.0014649713983072863,0.9884657807615163
4,0.001663816886076129,0.9869282393588055
5,0.0018896523396912098,0.9851899475778483
6,0.0021461411978584036,0.9832258776292548
7,0.0024374441501222215,0.9810082114645116
8,0.0027682866303920667,0.9785061217139613
9,0.0031440354715914997,0.9756855622349562
10,0.0035707859649004624,0.9725090780293855
11,0.004055460735840828,0.968935647028019
12,0.004605922041145103,0.9649205693230893
13,0.005231099308056263,0.9604154224899745
14,0.0059411339849650335,0.9553681054130663
15,0.006747544053110692,0.9497229959464647
16,0.007663410868007463,0.943421250981705
17,0.008703591361485167,0.9364012791379616
18,0.009884959046625586,0.9285994168157842
19,0.011226677735108137,0.9199508364509814
20,0.012750512407130135,0.9103907107878254
21,0.014481182276745337,0.8998556481127646
22,0.016446761779946643,0.8882853999583783
23,0.01867913599020783,0.8756248243061149
24,0.021214517849106298,0.8618260644776565
25,0.02409403560239526,0.8468508768937354
26,0.027364399970746703,0.8306730126591884
27,0.03107866187782014,0.8132805306262021
28,0.0352970730273065,0.7946778976124824
29,0.04008806328898466,0.7748877187008236
30,0.045529350748669505,0.7539519416115288
31,0.05170920242896761,0.7319323962466496
32,0.058727866131894825,0.7089105653000352
33,0.06669919663030122,0.6849865323081983
34,0.07575250258771916,0.6602771148533504
35,0.08603464416684505,0.6349132565073778
36,0.097712415353465,0.6090368124737211
37,0.11097524964120721,0.5827969130057999
38,0.12603829296797275,0.5563461190749478
39,0.14314589375234799,0.5298365927391779
40,0.1625755666443795,0.5034164906021452
41,0.18464249428955445,0.47722675570570244
42,0.2097046401323233,0.45139843739213276
43,0.23816855519761582,0.4260506164660161
44,0.2704959730463137,0.4012889617488338
45,0.3072112998861759,0.37720489879484004
46,0.34891012134067734,0.35387533599894866
47,0.3962688638701478,0.33136286906111223
48,0.4500557675700497,0.30971637182968503
49,0.5111433483440171,0.28897187805318925
50,0.5805225516094901,0.26915366311151334
51,0.6593188271333548,0.25027544420640296
52,0.7488103857590023,0.23234163018094037
53,0.8504489341802686,0.21534856590859128
54,0.9658832241158709,0.19928572971126868
55,1.096985797892384,0.1841368546372767
56,1.245883364295008,0.16988095508862588
57,1.414991297434576,0.15649324903147346
58,1.60705281826164,0.1439459728456869
59,1.8251834943190444,0.13220909094893196
60,2.072921779595372,0.12125090588416464
61,2.354286414322418,0.11103857685093148
62,2.673841615839949,0.101538555947229
63,3.0367711180354604,0.09271695190894552
64,3.4489622604057595,0.08453983107097404
65,3.917101490809261,0.0769734648240502
66,4.448782831127586,0.06998453209248186
67,5.052631065335684,0.06354028449322296
68,5.738441648302399,0.057608680852560996
69,6.517339604882427,0.052158496709611105
70,7.401959996915645,0.047159413559623865
71,8.406652885618334,0.04258209155551639
72,9.547716114208066,0.03839822867442661
73,10.843659686896109,0.034580608512201794
74,12.315506032928262,0.031103138355263123
75,13.987131026472385,0.027940878608034524
76,15.885651294280528,0.025070064296467364
77,18.04186409392072,0.022468119101578792
78,20.490746898158502,0.02011366218847888
79,23.27202478960412,0.017986508019978018
80,26.430814869741084,0.016067659320185584
81,30.01835813575592,0.014339293402861043
82,34.092850697468144,0.012784742130792694
83,38.720387818125566,0.01138846589562152
84,43.97603609302721,0.010136022093362843
85,49.9450511585514,0.009014028646508939
86,56.72426068491978,0.008010123242985265
87,64.42363508721384,0.007112918987080548
88,73.16807143427206,0.006311957198259476
89,83.09941949353403,0.005597658111324526
90,94.37878277775391,0.004961270208689057
91,107.18913192051286,0.004394818881962693
92,121.7382727739662,0.0038910550655884097
93,138.26221737646563,0.0034434044277701237
94,157.02901247293775,0.003045917604732494
95,178.3430876931909,0.00269322194276372
96,202.55019392306664,0.0023804750475508404
97,230.04301197729214,0.0021033204629763336
98,261.2675225563332,0.0018578456420488673
99,296.73024081888724,0.0016405423624003465
100,337.00643292719315,0.0014482696618737666
101,382.7494478516315,0.0012782193172157252
102,434.7013158125026,0.0011278838488169981
103,493.7047852839004,0.000995027002965719
104,560.7169938205458,0.0008776566325772252
105,636.8249944718586,0.0007739998708448877
106,723.2633896483547,0.0006824804847278136
107,821.4343584919438,0.000601698290531434
108,932.9304026284696,0.0005304104834813873
109,1059.560179277617,0.0004675147563706464
110,1203.3778407775903,0.0004120340786797352
111,1366.7163564620073,0.00036310298925619716
112,1552.225357427048,0.0003199552883108364
113,1762.914118095948,0.0002819130011391301
114,2002.2003718155845,0.0002483765004102963
115,2273.965752357932,0.0002188156791593791
116,2582.6187606826797,0.00019276207182717685
117,2933.166278390049,0.00016980183584758534
118,3331.294787934677,0.000149569495623991
119,3783.462617131933,0.00013174238525988564
120,4297.004704320843,0.00011603571357849197
121,4880.2515836544335,0.00010219817022945561
122,5542.664520663107,9.000804657038783e-05
123,6294.988990221888,7.92697813798971e-05
124,7149.428986597591,6.98109087871911e-05
125,8119.844993184026,6.14793575281475e-05
126,9221.97882333434,5.414105717971306e-05
127,10473.708979594508,4.7677821775282694e-05
128,11895.34067370321,4.198548130886633e-05
129,13509.935211980279,3.697222933125581e-05
130,15343.684089300132,3.255716313811782e-05
131,17426.333860096507,2.8668994860429468e-05
132,19791.668678535574,2.5244913789694433e-05
133,22478.058335487298,2.22295824006441e-05
134,25529.080682395215,1.9574249977214173e-05
135,28994.22853882881,1.7235970138056057e-05
136,32929.71255097155,1.5176912723860821e-05
137,37399.373024788016,1.3363757053519473e-05
138,42475.71552536903,1.1767153561666656e-05
139,48241.08704165374,1.0361250326373724e-05
140,54789.01179593945,9.123282279560038e-06
141,62225.70836730231,8.033196219323027e-06
142,70671.81273927505,7.07333451242799e-06
143,80264.3352225719,6.228144236591086e-06
144,91158.88299750836,5.483931373007304e-06
145,103532.18432956615,4.828633340739638e-06
146,117584.95540521582,4.251631354508394e-06
147,133545.1562929903,3.7435711897172023e-06
148,151671.6888470924,3.2962169151852892e-06
149,172258.5965398791,2.9023173719502407e-06
150,195639.8343517065,2.5554855955390453e-06
151,222194.68609395283,2.2500976894941622e-06
152,252353.9170434766,1.9812021252427988e-06
153,286606.7616948256,1.744439160383053e-06
154,325508.8599835056,1.5359694067453534e-06
155,369691.27071950317,1.3524119070737156e-06
156,419870.70844439225,1.19078974996486e-06
157,476861.1697714474,1.048481809368792e-06
158,541587.1378079487,9.23180165874281e-07
159,615098.5788580504,8.128526435909164e-07
160,698587.9746785263,7.157098632232756e-07
161,793409.6665797492,6.301762454269629e-07
162,901101.8251665037,5.548644698772045e-07
163,1023411.4021054527,4.885529761547717e-07
164,1162322.4686798542,4.3016616000176113e-07
165,1320088.400831422,3.7875696021646326e-07
166,1499268.4327860472,3.334915467947534e-07
167,1702769.1722259047,2.936358199378146e-07
168,1933891.750455232,2.5854342915891565e-07
169,2196385.372416551,2.2764503984369787e-07
170,2494508.1352303163,2.0043916113421448e-07
171,2833096.10183933,1.7648443074969592e-07
172,3217641.7502507353,1.5539241729423412e-07
173,3654383.0709572616,1.3682149359181442e-07
174,4150404.7578504896,1.2047009884887898e-07
175,4713753.134116729,1.0607254285506263e-07
176,5353566.67741074,9.339547336656573e-08
177,6080224.261649428,8.223399282432825e-08
178,6905513.520162345,7.240624310055189e-08
179,7842822.0613376815,6.375261022074763e-08
180,8907354.638610458,5.613371581028163e-08
181,10116379.79766207,4.9425250889665036e-08
182,11489510.001873108,4.351810587700315e-08
183,13049019.78014407,3.831756546624608e-08
184,14820207.0579886,3.373811271478236e-08
185,16831803.53330962,2.9705974834389978e-08
186,19116440.753857035,2.6156080187293624e-08
187,21711179.456945095,2.3029858921957322e-08
188,24658110.75822604,2.0277908548472238e-08
189,28005038.941836365,1.78542600865976e-08
190,31806256.927941192,1.5720744941274134e-08
191,36123426.99709438,1.384185284043118e-08
192,41026581.0582719,1.2187735488545045e-08
193,46595256.686646864,1.0731175926892173e-08
194,52919787.35958458,9.448764558923697e-09
195,60102767.82070388,8.319561717251959e-09
196,68260718.34272407,7.325391481397012e-09
197,77525974.88629463,6.44989761771542e-09
198,88048835.81643483,5.6792957036178836e-09
199,100000000.0,5.000492418863204e-09
